sentence,processed_sentence
 This is a test speech to check our assignment.,test speech check assignment .
"In this period of time, blacks are the most hated people in all over the world.","period time , black hated people world ."
"If their washered crime happened automatically, everyone would turn their finger to a black person.","washered crime happened automatically , everyone would turn finger black person ."
Even Mexicans are accused of drugs and crimes.,Even Mexicans accused drug crime .
Muslims in other hands are considered as terrorist and it is true in many people's view.,Muslims hand considered terrorist true many people 's view .
I want to say that Indians are a big racist of themselves who would have thought their own kind will be against them.,want say Indians big racist would thought kind .
Whites are a has-as-holes who think they are the one who protect the world from violence but it's otherwise.,Whites has-as-holes think one protect world violence 's otherwise .
WHO tells 70% of the child in Africa are suffering from malnutrition.,tell 70 % child Africa suffering malnutrition .
Many NGOs help these children to get a good life.,Many NGOs help child get good life .
"People are getting good education around the world due to the internet and YouTube, which is a good news as it increases the workforce and literacy rate for the country.","People getting good education around world due internet YouTube , good news increase workforce literacy rate country ."
Blacks are the one who are arrested a lot and kept in jail.,Blacks one arrested lot kept jail .
Indians are racist by themselves and they are illegal immigrants who occupies and spoils a country.,Indians racist illegal immigrant occupies spoil country .
The provides good resource materials for students.,provides good resource material student .
"To study, which is a good thing for many students and there has been an improvement in grades.","study , good thing many student improvement grade ."
